transaction_id,parent,parent_type,child,child_type,rel_type,date
2205-15_tr_01,"State Minister of National Security, Home Affairs and Disaster Management",minister,Kamal Gunaratna,citizen,SECRETARY_APPOINTED,2020-11-25
2205-15_tr_02,State Minister of Provincial Councils and Local Government,minister,N. H. M. Chithrananda,citizen,SECRETARY_APPOINTED,2020-11-25
2205-15_tr_03,"State Minister of Samurdhi, Household Economy, Micro Finance, Self Employment and Business Development",minister,H. K. D. W. M. N. B. Hapuhinna,citizen,SECRETARY_APPOINTED,2020-11-25
2205-15_tr_04,"State Minister of Dhamma Schools, Pirivenas and Bhikkhu Education",minister,S. H. Harischandra,citizen,SECRETARY_APPOINTED,2020-11-25
2205-15_tr_05,"State Minister of Backward Rural Areas Development and Promotion of Domestic Animal Husbandry and Minor Economic Crop Cultivation",minister,A. Senanayaka,citizen,SECRETARY_APPOINTED,2020-11-25
2205-15_tr_06,State Minister of Gem and Jewellery related Industries,minister,S. M. Piyatissa,citizen,SECRETARY_APPOINTED,2020-11-25
2205-15_tr_07,"State Minister of Skills Development, Vocational Education, Research and Innovation",minister,P. W. Rajapaksa,citizen,SECRETARY_APPOINTED,2020-11-25
2205-15_tr_08,"State Minister of Primary Health Care, Epidemics and COVID Disease Control",minister,Amal Harsha de Silva,citizen,SECRETARY_APPOINTED,2020-12-02
