transaction_id,parent,parent_type,child,child_type,rel_type,date
2413-25_tr_01,"Minister of Transport, Highways, Ports and Civil Aviation",minister,Kapila C.K.Perera,citizen,SECRETARY_APPOINTED,2024-12-03
2413-25_tr_02,"Minister of Finance, Planning and Economic Development",minister,K.M.M. Siriwardana,citizen,SECRETARY_APPOINTED,2024-12-03
2413-25_tr_03,Minister of Industry and Entrepreneurship Development,minister,J.M.Thilaka Jayasundara,citizen,SECRETARY_APPOINTED,2024-12-03
2413-25_tr_04,"Minister of Buddhasasana, Religious and Cultural Affairs",minister,A.M.P.M.B. Atapattu,citizen,SECRETARY_APPOINTED,2024-12-03
2413-25_tr_05,Minister of Plantation and Community Infrastructure,minister,B.K. Prabath Chandrakeerthi,citizen,SECRETARY_APPOINTED,2024-12-03
2413-25_tr_06,Minister of Public Security and Parliamentary Affairs,minister,D.W.R.B. Seneviratne,citizen,SECRETARY_APPOINTED,2024-12-03
2413-25_tr_07,"Minister of Urban Development, Construction and Housing",minister,U.G. Ranjith Ariyaratne,citizen,SECRETARY_APPOINTED,2024-12-03
2413-25_tr_08,"Minister of Public Administration, Provincial Councils and Local Government",minister,S. Alokabandara,citizen,SECRETARY_APPOINTED,2024-12-03
2413-25_tr_09,"Minister of Foreign Affairs, Foreign Employment and Tourism",minister,Aruni Ranaraja,citizen,SECRETARY_APPOINTED,2024-12-03
2413-25_tr_10,Minister of Labour,minister,S.M. Piyatissa,citizen,SECRETARY_APPOINTED,2024-12-03
2413-25_tr_11,"Minister of Agriculture, Livestock, Land and Irrigation",minister,D.P. Wickramasinghe,citizen,SECRETARY_APPOINTED,2024-12-03
2413-25_tr_12,"Minister of Education, Higher Education and Vocational Education",minister,K.M.G.S.Nalaka Kaluwewa,citizen,SECRETARY_APPOINTED,2024-12-03
2413-25_tr_13,Minister of Youth Affairs and Sports,minister,A.H.M.U. Aruna Bandara,citizen,SECRETARY_APPOINTED,2024-12-03
2413-25_tr_14,"Minister of Trade, Commerce, Food Security and Cooperative Development",minister,K.A. Vimalenthirarajah,citizen,SECRETARY_APPOINTED,2024-12-03
2413-25_tr_15,"Minister of Rural Development, Social Security and Community Empowerment",minister,Malarmathy Gangatharan,citizen,SECRETARY_APPOINTED,2024-12-03
2413-25_tr_16,Minister of Justice and National Integration,minister,"A.B. Ayesha Jinasena, PC",citizen,SECRETARY_APPOINTED,2024-12-03
2413-25_tr_17,Minister of Environment,minister,K.R. Uduwawala,citizen,SECRETARY_APPOINTED,2024-12-03
2413-25_tr_18,Minister of Science and Technology,minister,Y.L. Mohamed Navavi,citizen,SECRETARY_APPOINTED,2024-12-03
