transaction_id,parent,parent_type,child,child_type,rel_type,date
2190-13_tr_01,State Minister of Money and Capital Market and State Enterprise Reforms,minister,R. M. A. Rathnayaka,citizen,SECRETARY_APPOINTED,2020-08-24
2190-13_tr_02,"State Minister of Samurdhi, Household Economy, Micro Finance, Self Employment, Business Development and Underutilized State Resources Development",minister,H. K. D. W. M. N. B. Hapuhinna,citizen,SECRETARY_APPOINTED,2020-08-24
2190-13_tr_03,"State Minister of National Heritage, Performing Arts and Rural Arts Promotion",minister,S. T. Kodikara,citizen,SECRETARY_APPOINTED,2020-08-24
2190-13_tr_04,"State Minister of Rural Housing, Construction and Building Material Industries",minister,Keerthi Ranjith Abeysiriwardana,citizen,SECRETARY_APPOINTED,2020-08-24
2190-13_tr_05,State Minister of Estate Housing and Community Infrastructure,minister,D. P. G. Kumarasiri,citizen,SECRETARY_APPOINTED,2020-08-24
2190-13_tr_06,"State Minister of Prison Reforms and Prisoners' Rehabilitation",minister,G. C. Karunarathna,citizen,SECRETARY_APPOINTED,2020-08-24
2190-13_tr_07,"State Minister of Women and Child Development, Pre-schools and Primary Education, School Infrastructure and Education Services",minister,K. M. S. D. Jayasekara,citizen,SECRETARY_APPOINTED,2020-08-24
2190-13_tr_08,"State Minister of Education Reforms, Open Universities and Distance Learning Promotion",minister,M. Upali Sedara,citizen,SECRETARY_APPOINTED,2020-08-24
2190-13_tr_09,"State Minister of Skills Development, Vocational Education, Research and Innovation",minister,N. H. M. Chithrananda,citizen,SECRETARY_APPOINTED,2020-08-24
2190-13_tr_10,"State Minister of Dhamma Schools, Bhikkhu Education, Piriven and Buddhist Universities",minister,S. H. Harischandra,citizen,SECRETARY_APPOINTED,2020-08-24
2190-13_tr_11,"State Minister of Production, Supply and Regulation of Pharmaceuticals",minister,K. R. Uduwavala,citizen,SECRETARY_APPOINTED,2020-08-24
2190-13_tr_12,"State Minister of Indigenous Medicine Promotion, Rural and Ayurvedic Hospitals Development and Community Health",minister,A. K. W. W. M. N. K. Weerasekara,citizen,SECRETARY_APPOINTED,2020-08-24
2190-13_tr_13,State Minister of Foreign Employment Promotion and Market Diversification,minister,S. Arumeinayagam,citizen,SECRETARY_APPOINTED,2020-08-24
2190-13_tr_14,"State Minister of Wildlife Protection, Adoption of safety measures including the construction of electrical fences and trenches and reforestation and forest resource development",minister,W. P. P. Fernando,citizen,SECRETARY_APPOINTED,2020-08-24
2190-13_tr_15,"State Minister of Paddy and Grains, Organic Food, Vegetables, Fruits, Chilies, Onion and Potato Cultivation Promotion, Seed Production and Advanced Technology Agriculture",minister,L. L. A. Wijesiri,citizen,SECRETARY_APPOINTED,2020-08-24
2190-13_tr_16,State Minister of Production and Supply of Fertilizer and Regulation of Chemical Fertilizer and Insecticide Use,minister,M. N. Ranasinghe,citizen,SECRETARY_APPOINTED,2020-08-24
2190-13_tr_17,"State Minister of Livestock, Farm Promotion and Dairy and Egg Related Industries",minister,S. Senanayaka,citizen,SECRETARY_APPOINTED,2020-08-24
2190-13_tr_18,State Minister of Canals and Common Infrastructure Development in Settlements in Mahaweli Zones,minister,W. B. Palugaswewa,citizen,SECRETARY_APPOINTED,2020-08-24
2190-13_tr_19,"State Minister of Tanks, Reservoirs and Irrigation Development Related to Rural Paddy Fields",minister,D. D. Ariyarathna,citizen,SECRETARY_APPOINTED,2020-08-24
2190-13_tr_20,"State Minister of Land Management, State Enterprises Land and Property Development",minister,S. D. A. B. Boralessa,citizen,SECRETARY_APPOINTED,2020-08-24
2190-13_tr_21,"State Minister of Ornamental Fish, Inland Fish and Prawn Farming, Fishery Harbour Development, Multiday Fishing Activities and Fish Exports",minister,Jayantha Chandrasoma,citizen,SECRETARY_APPOINTED,2020-08-24
2190-13_tr_22,"State Minister of Company Estate Reforms, Tea Estates related Crops, Tea Factories Modernization and Tea Export Promotion",minister,J. M. Thilakaratne Banda,citizen,SECRETARY_APPOINTED,2020-08-24
2190-13_tr_23,"State Minister of Coconut, Kithul, Palmyrah and Rubber Cultivation Promotion and Related Industrial Product Manufacturing and Export Diversification",minister,Tissa Hewavithana,citizen,SECRETARY_APPOINTED,2020-08-24
2190-13_tr_24,"State Minister of Development of Minor Crops Plantation including Sugarcane, Maize, Cashew, Pepper, Cinnamon, Cloves, Betel Related Industries and Export Promotion",minister,D. L. P. R. Abhayarathna,citizen,SECRETARY_APPOINTED,2020-08-24
2190-13_tr_25,State Minister of Rural and Divisional Drinking Water Supply Projects Development,minister,S. G. Wijayabandu,citizen,SECRETARY_APPOINTED,2020-08-24
2190-13_tr_26,"State Minister of Solar, Wind and Hydro Power Generation Projects Development",minister,K. H. D. K. Samarakoon,citizen,SECRETARY_APPOINTED,2020-08-24
2190-13_tr_27,"State Minister of Warehouse Facilities, Container Yards, Port Supply Facilities and Boats and Shipping Industry Development",minister,D. D. Matharaarachchi,citizen,SECRETARY_APPOINTED,2020-08-24
2190-13_tr_28,State Minister of Rural Roads and other Infrastructure,minister,Ranjith Dissanayake,citizen,SECRETARY_APPOINTED,2020-08-24
2190-13_tr_29,"State Minister of Vehicle Regulation, Bus Transport Services and Train Compartments and Motor Car Industry",minister,S. M. D. L. K. De Alwis,citizen,SECRETARY_APPOINTED,2020-08-24
